c formula: 58724 vars, 93918 hard, 880 soft
c cost: 1; core sz: 1; soft sz: 879
c cost: 2; core sz: 8; soft sz: 872
c cost: 3; core sz: 108; soft sz: 765
c cost: 4; core sz: 1; soft sz: 764
c cost: 5; core sz: 107; soft sz: 658
c cost: 6; core sz: 9; soft sz: 650
c cost: 7; core sz: 7; soft sz: 646
c cost: 8; core sz: 45; soft sz: 604
c cost: 9; core sz: 27; soft sz: 582
c cost: 10; core sz: 10; soft sz: 576
c cost: 11; core sz: 31; soft sz: 551
c cost: 12; core sz: 25; soft sz: 533
c cost: 13; core sz: 11; soft sz: 531
c cost: 14; core sz: 6; soft sz: 532
c cost: 15; core sz: 9; soft sz: 533
c cost: 16; core sz: 7; soft sz: 534
c cost: 17; core sz: 8; soft sz: 535
c cost: 18; core sz: 9; soft sz: 536
c cost: 19; core sz: 8; soft sz: 537
c cost: 20; core sz: 7; soft sz: 538
c cost: 21; core sz: 10; soft sz: 538
c cost: 22; core sz: 7; soft sz: 539
c cost: 23; core sz: 9; soft sz: 540
